,RIBEYE STEAK 10oz,,Lunch,,,15,,,,,N,Y
,Side of Pub Chip,,Lunch,,,2.5,,,,,N,Y
,Ribeye Sandwich,,Lunch,,,10.5,,,,,N,Y
,Philly Steak,,Lunch,,,9,,,,,N,Y
,Chicken Caesar,,Lunch,,,8,,,,,N,Y
,Side of Salmon,,Lunch,,,5,,,,,N,Y
,Turkey Melt Sandwich,,Lunch,,,8.5,,,,,N,Y
,Philly Chicken,,Lunch,,,9.5,,,,,N,Y
,Burger-Cheese,,Lunch,,,8,,,,,N,Y
,Blcknd Chicken Sandwich,,Lunch,,,10,,,,,N,Y
,Lunch Steak Bite,,Lunch,,,7,,,,,N,Y
,Egg Salad,,Lunch,,,8.5,,,,,N,Y
,Bbq Sandwich,,Lunch,,,9,,,,,N,Y
,$2 SPECIAL,,Alcohol - Beer - Bottle,,,2,,,,,N,N
,Bud Light,,Alcohol - Beer - Bottle,,,2.75,,,,,N,N
,Yuengling,,Alcohol - Beer - Bottle,,,2.75,,,,,N,N
,Michelob Ultra,,Alcohol - Beer - Bottle,,,2.75,,,,,N,N
,Coors Light,,Alcohol - Beer - Bottle,,,2.75,,,,,N,N
,Budweiser,,Alcohol - Beer - Bottle,,,2.75,,,,,N,N
,Party Soda,,Alcohol - Beer - Bottle,,,1,,,,,N,N
,Heinekin,,Alcohol - Beer - Bottle,,,3.5,,,,,N,N
,Corona ,,Alcohol - Beer - Bottle,,,3.5,,,,,N,N
,Miller Light,,Alcohol - Beer - Bottle,,,2.75,,,,,N,N
,Bud Light Lime,,Alcohol - Beer - Bottle,,,3,,,,,N,N
,Cider,,Alcohol - Beer - Bottle,,,3.5,,,,,N,N
,Dos XX,,Alcohol - Beer - Bottle,,,3.5,,,,,N,N
,$3 SPECIAL,,Alcohol - Beer - Bottle,,,3,,,,,N,N
,Gose,,Alcohol - Beer - Bottle,,,4.5,,,,,N,N
,Craft Bottle,,Alcohol - Beer - Bottle,,,4.5,,,,,N,N
,Boddington,,Alcohol - Beer - Bottle,,,4,,,,,N,N
,Special $10,,Specials,,,10,,,,,N,Y
,Special $10.50,,Specials,,,10.5,,,,,N,Y
,Special $9,,Specials,,,9,,,,,N,Y
,Soup Cup,,Specials,,,3.95,,,,,N,Y
,Gratuity ,,Specials,,,0,,,,,N,Y
,Soup Bowl,,Specials,,,5.95,,,,,N,Y
,Shrimp Taco,,Specials,,,13,,,,,N,Y
,T-SHIRT,,Specials,,,20,,,,,N,Y
,Snapper,,Specials,,,14,,,,,N,Y
,Perch Po Boy,,Specials,,,10,,,,,N,Y
,Seafood Platter,,Specials,,,15,,,,,N,Y
,Tbone,,Specials,,,22,,,,,N,Y
,Trout,,Specials,,,13,,,,,N,Y
,Feta Salad,,Specials,,,5,,,,,N,Y
,.Slaw,,Sides,,,3,,,,,N,Y
,$1 Premium Side,,Sides,,,1,,,,,N,Y
,.Bacon Cheese FF,,Sides,,,4,,,,,N,Y
,.SPFF,,Sides,,,4,,,,,N,Y
,ALL DRUMS/FLAPS PER5,,Sides,,,1,,,,,N,Y
,Add Cheddar,,Sides,,,1,,,,,N,Y
,GRILLED MUSH OR PEP,,Sides,,,1,,,,,N,Y
,Add Bacon,,Sides,,,1,,,,,N,Y
,Salad Bar- Large,,Sides,,,7,,,,,N,Y
,.Mac Bites,,Sides,,,4,,,,,N,Y
,.Onion Rings,,Sides,,,4,,,,,N,Y
,.Loaded Potato,,Sides,,,4,,,,,N,Y
,Dessert,,Sides,,,5,,,,,N,Y
,.Fried Pickles,,Sides,,,4,,,,,N,Y
,.Baked Potato,,Sides,,,3,,,,,N,Y
,Mozz Stix,,Sides,,,4,,,,,N,Y
,Salad Bar- Small,,Sides,,,5,,,,,N,Y
,Extra Sauce,,Sides,,,0.25,,,,,N,Y
,.Grilled Veggies,,Sides,,,4,,,,,N,Y
,.No Side,,Sides,,,0,,,,,N,Y
,.Chips,,Sides,,,3,,,,,N,Y
